WID	ATCCode	Name	Synonym
1001138	V04CJ01	Thyrotropin Alfa	Follitropin beta chain precursor
1001138	V04CJ01	Thyrotropin Alfa	FSH-B
1001138	V04CJ01	Thyrotropin Alfa	FSH-beta
1001174	B02BD02	Antihemophilic Factor	AHF
1001174	B02BD02	Antihemophilic Factor	Coagulation factor VIII precursor
1001174	B02BD02	Antihemophilic Factor	Procoagulant component
1001309	L04AC03	Anakinra	ICIL-1RA
1001309	L04AC03	Anakinra	IL-1ra
1001309	L04AC03	Anakinra	IL-1RN
1001309	L04AC03	Anakinra	IL1 inhibitor
1001309	L04AC03	Anakinra	Interleukin-1 receptor antagonist protein precursor
1001309	L04AC03	Anakinra	IRAP
1001387	J06BA02	Intravenous Immunoglobulin	Ig alpha-2 chain C region
1001387	J06BA02	Intravenous Immunoglobulin	immune globulin
1001387	J06BA02	Intravenous Immunoglobulin	Immunoglobulin G
1001387	J06BA01	Intravenous Immunoglobulin	Ig alpha-2 chain C region
1001387	J06BA01	Intravenous Immunoglobulin	immune globulin
1001387	J06BA01	Intravenous Immunoglobulin	Immunoglobulin G
1001485	B01AD03	Anistreplase	t- PA
1001485	B01AD03	Anistreplase	t-plasminogen activator
1001485	B01AD03	Anistreplase	Tissue-type plasminogen activator precursor
1001485	B01AD03	Anistreplase	tPA
1001522	A10AB01	Insulin Regular	Insulin human
1001522	A10AE05	Insulin Regular	Insulin human
1001522	A10AB04	Insulin Regular	Insulin human
1001522	A10AE04	Insulin Regular	Insulin human
1001522	A10AD05	Insulin Regular	Insulin human
1001522	A10AC03	Insulin Regular	Insulin human
1001522	A10AC01	Insulin Regular	Insulin human
1001522	A10AB05	Insulin Regular	Insulin human
1001522	A10AB03	Insulin Regular	Insulin human
1001622	B01AD11	Tenecteplase	t- PA
1001622	B01AD11	Tenecteplase	t-plasminogen activator
1001622	B01AD11	Tenecteplase	Tissue-type plasminogen activator precursor
1001622	B01AD11	Tenecteplase	tPA
1001692	G03GA02	Menotropins	LH-B
1001692	G03GA02	Menotropins	LSH- beta
1001692	G03GA02	Menotropins	LSH-B
1001692	G03GA02	Menotropins	Luteinizing hormone beta subunit
1001692	G03GA02	Menotropins	Lutropin beta chain precursor
1001777	L03AB11	Interferon Alfa-2a, Recombinant	Interferon alfa-2a
1001777	L03AB11	Interferon Alfa-2a, Recombinant	Oral interferon alfa
1001777	L03AB11	Interferon Alfa-2a, Recombinant	rIFN-alpha-2a
1001777	L03AB04	Interferon Alfa-2a, Recombinant	Interferon alfa-2a
1001777	L03AB04	Interferon Alfa-2a, Recombinant	Oral interferon alfa
1001777	L03AB04	Interferon Alfa-2a, Recombinant	rIFN-alpha-2a
1001826	H01BA02	Desmopressin	1-Desamino-8-D-arginine vasopressin
1001826	H01BA02	Desmopressin	Desmopresina [INN-Spanish]
1001826	H01BA02	Desmopressin	Desmopressine [INN-French]
1001826	H01BA02	Desmopressin	Desmopressinum [INN-Latin]
1002012	L03AC02	Oprelvekin	Adipogenesis inhibitory factor
1002012	L03AC02	Oprelvekin	AGIF
1002012	L03AC02	Oprelvekin	IL-11
1002012	L03AC02	Oprelvekin	Interleukin-11 precursor
1002046	V03AF08	Palifermin	FGF-7
1002046	V03AF08	Palifermin	Fibroblast growth factor- 7
1002046	V03AF08	Palifermin	HBGF-7
1002046	V03AF08	Palifermin	Keratinocyte growth factor precursor
1002046	V03AF08	Palifermin	KGF
1002145	L03AC01	Aldesleukin	IL-2
1002145	L03AC01	Aldesleukin	Interleukin-2 precursor
1002145	L03AC01	Aldesleukin	T-cell growth factor
1002145	L03AC01	Aldesleukin	TCGF
1002247	R03DX05	Omalizumab	Ig gamma-1 chain C region
1002287	G03GA07	Lutropin alfa	LH-B
1002287	G03GA07	Lutropin alfa	LSH- beta
1002287	G03GA07	Lutropin alfa	LSH-B
1002287	G03GA07	Lutropin alfa	Luteinizing hormone beta subunit
1002287	G03GA07	Lutropin alfa	Lutropin beta chain precursor
1002347	A10AB04	Insulin Lispro	Insulin Lispro Recombinant
1002347	A10AC04	Insulin Lispro	Insulin Lispro Recombinant
1002347	A10AD04	Insulin Lispro	Insulin Lispro Recombinant
1002435	A10AE04	Insulin Glargine	Insulin Glargine (rDNA origin)
1002511	D03BA02	Collagenase	AA4500
1002557	V03AF07	Rasburicase	Urate oxidase
1002557	V03AF07	Rasburicase	Uricase
1002595	H01CC02	Cetrorelix	Cetrorelixum [INN-Latin]
1002595	H01CC02	Cetrorelix	SB 75
1002595	H01CC02	Cetrorelix	SB-75
1002654	L04AB04	Adalimumab	Ig gamma-1 chain C region
1002721	H01AC01	Somatropin recombinant	GH
1002721	H01AC01	Somatropin recombinant	GH-N
1002721	H01AC01	Somatropin recombinant	Growth hormone
1002721	H01AC01	Somatropin recombinant	Growth hormone 1
1002721	H01AC01	Somatropin recombinant	Pituitary growth hormone
1002721	H01AC01	Somatropin recombinant	Somatotropin precursor
1002721	H01AC01	Somatropin recombinant	Somatropin
1002913	B01AC13	Abciximab	7E3
1002913	B01AC13	Abciximab	7E3 antibody
1002913	B01AC13	Abciximab	antiGPIIBIIIa
1002913	B01AC13	Abciximab	C7E3
1002987	B01AD10	Drotrecogin alfa	Anticoagulant protein C
1002987	B01AD10	Drotrecogin alfa	Autoprothrombin IIA
1002987	B01AD10	Drotrecogin alfa	Blood coagulation factor XIV
1002987	B01AD10	Drotrecogin alfa	Vitamin K-dependent protein C precursor
1003128	V09IB02	Satumomab Pendetide	Indium (111In) satumomab pendetide
1003128	V09IB02	Satumomab Pendetide	Indium-111 satumomab pendetide
1003198	L01XX24	Pegaspargase	L-asparagine amidohydrolase
1003198	L01XX24	Pegaspargase	Putative L-asparaginase precursor
1003232	L04AA23	Interferon beta-1a	Fibroblast interferon
1003232	L04AA23	Interferon beta-1a	IFN-beta
1003232	L04AA23	Interferon beta-1a	Interferon beta precursor
1003232	L03AB07	Interferon beta-1a	Fibroblast interferon
1003232	L03AB07	Interferon beta-1a	IFN-beta
1003232	L03AB07	Interferon beta-1a	Interferon beta precursor
1003363	B01AC16	Eptifibatide	Integrelin
1003363	B01AC16	Eptifibatide	Intrifiban
1003431	L04AA12	Infliximab	Ig gamma-1 chain C region
1003431	L04AB02	Infliximab	Ig gamma-1 chain C region
1003476	G03GA06	Follitropin beta	Follicle-stimulating hormone beta subunit
1003476	G03GA06	Follitropin beta	Follitropin alfa/beta
1003476	G03GA06	Follitropin beta	Follitropin beta chain precursor
1003476	G03GA06	Follitropin beta	FSH-B
1003476	G03GA06	Follitropin beta	FSH-beta
1003533	H01BA01	Vasopressin	3-Isoleucyl vasopressin
1003533	H01BA01	Vasopressin	Arginine oxytocin
1003533	H01BA01	Vasopressin	Arginine vasotocin
1003533	H01BA01	Vasopressin	Argiprestocin
1003533	H01BA01	Vasopressin	Pitressin tannate
1003533	H01BA01	Vasopressin	Vasopressin, isoleucyl
1003533	H01BA01	Vasopressin	Vasopressin, non-mammalian
1003533	H01BA01	Vasopressin	Vasotocin
1003595	L03AB08	Interferon beta-1b	Fibroblast interferon
1003595	L03AB08	Interferon beta-1b	IFN-beta
1003595	L03AB08	Interferon beta-1b	Interferon beta precursor
1003641	L03AB09	Interferon alfacon-1	CIFN
1003641	L03AB09	Interferon alfacon-1	consensus interferon
1003641	L03AB09	Interferon alfacon-1	IFN Alfacon-1
1003641	L03AB09	Interferon alfacon-1	Interferon Consensus, Methionyl
1003641	L03AB09	Interferon alfacon-1	methionyl interferon consensus
1003641	L03AB09	Interferon alfacon-1	methionyl-interferon-consensus
1003641	L03AB09	Interferon alfacon-1	rCon-IFN
1003641	L03AB09	Interferon alfacon-1	Recombinant Consensus Interferon
1003641	L03AB09	Interferon alfacon-1	Recombinant methionyl human consensus interferon
1003688	B06AA03	Hyaluronidase	HYAL-1
1003688	B06AA03	Hyaluronidase	Hyaluronidase 1 precursor
1003688	B06AA03	Hyaluronidase	Hyaluronidase PH-20
1003688	B06AA03	Hyaluronidase	Sperm adhesion molecule 1
1003688	B06AA03	Hyaluronidase	Sperm surface protein PH-20
1003802	L01XC03	Trastuzumab	Anti HER2
1003802	L01XC03	Trastuzumab	Ig gamma-1 chain C region
1003975	L01XC02	Rituximab	AntiCD20
1003975	L01XC02	Rituximab	Ig gamma-1 chain C region
1004065	L04AC02	Basiliximab	chimeric mouse-human antiCD25
1004065	L04AC02	Basiliximab	Ig gamma-1 chain C region
1004130	L04AA02	Muromonab	AntiCD3
1004130	L04AA02	Muromonab	Muromonab-CD3
1004205	V03AB24	Digoxin Immune Fab	Ig gamma-2A chain C region, A allele
1004239	V10XX02	Ibritumomab	Ig gamma-2A chain C region, membrane-bound form
1004239	V10XX02	Ibritumomab	radiolabeled murine anti-CD20
1004306	J01XX09	Daptomycin	LY 146032
1004355	V10XA53	Tositumomab	Ig gamma-1 chain C region
1004423	H01AX01	Pegvisomant	GH
1004423	H01AX01	Pegvisomant	GH-N
1004423	H01AX01	Pegvisomant	Growth hormone
1004423	H01AX01	Pegvisomant	Growth hormone 1
1004423	H01AX01	Pegvisomant	Pituitary growth hormone
1004423	H01AX01	Pegvisomant	Somatotropin precursor
1004489	M03AX01	Botulinum Toxin Type A	BoNT/A
1004489	M03AX01	Botulinum Toxin Type A	Bontoxilysin A
1004489	M03AX01	Botulinum Toxin Type A	Botulinum neurotoxin type A precursor
1004489	M03AX01	Botulinum Toxin Type A	BTX-A
1004545	A09AA02	Pancrelipase	1,4-alpha-D- glucan glucanohydrolase
1004545	A09AA02	Pancrelipase	PA
1004545	A09AA02	Pancrelipase	Pancreatic alpha-amylase precursor
1004629	B01AD01	Streptokinase	Streptokinase C precursor
1004629	B06AA55	Streptokinase	Streptokinase C precursor
1004771	V09IB04	Capromab	Capromab pendetide
1004771	V09IB04	Capromab	In 111 Capromab pendetide
1004771	V09IB04	Capromab	ProstaScint
1004792	A16AB05	Laronidase	Alpha-L-iduronidase precursor
1004824	L04AD01	Cyclosporine	Ciclosporin
1004824	L04AD01	Cyclosporine	CsA
1004824	L04AD01	Cyclosporine	CyA
1004824	L04AD01	Cyclosporine	Cyclosporin A
1004824	S01XA18	Cyclosporine	Ciclosporin
1004824	S01XA18	Cyclosporine	CsA
1004824	S01XA18	Cyclosporine	CyA
1004824	S01XA18	Cyclosporine	Cyclosporin A
1005186	L04AA15	Alefacept	ASP0485
1005277	G03GA04	Urofollitropin	Follicle-stimulating hormone beta subunit
1005277	G03GA04	Urofollitropin	Follitropin beta chain precursor
1005277	G03GA04	Urofollitropin	FSH-B
1005277	G03GA04	Urofollitropin	FSH-beta
1005324	L04AA21	Efalizumab	anti alphaL integrin
1005324	L04AA21	Efalizumab	antiCD11 alpha
1005324	L04AA21	Efalizumab	hu1124
1005324	L04AA21	Efalizumab	Raptiva
1005418	G03GA08	Choriogonadotropin alfa	CG-beta
1005418	G03GA08	Choriogonadotropin alfa	Choriogonadotropin beta chain precursor
1005418	G03GA08	Choriogonadotropin alfa	Chorionic gonadotrophin beta subunit
1005514	L03AA02	Filgrastim	G-CSF
1005514	L03AA02	Filgrastim	Granulocyte Colony Stimulating Factor
1005514	L03AA02	Filgrastim	Tbo-filgrastim
1005587	B02BD04	Coagulation Factor IX	Christmas factor
1005587	B02BD04	Coagulation Factor IX	Coagulation factor IX precursor
1005587	B02BD04	Coagulation Factor IX	Plasma thromboplastin component
1005587	B02BD04	Coagulation Factor IX	PTC
1005651	D03AX06	Becaplermin	c-sis
1005651	D03AX06	Becaplermin	PDGF B-chain
1005651	D03AX06	Becaplermin	PDGF-2
1005651	D03AX06	Becaplermin	Platelet-derived growth factor B chain precursor
1005651	D03AX06	Becaplermin	Platelet-derived growth factor beta polypeptide
1005651	A01AD08	Becaplermin	c-sis
1005651	A01AD08	Becaplermin	PDGF B-chain
1005651	A01AD08	Becaplermin	PDGF-2
1005651	A01AD08	Becaplermin	Platelet-derived growth factor B chain precursor
1005651	A01AD08	Becaplermin	Platelet-derived growth factor beta polypeptide
1005695	A16AB04	Agalsidase beta	Agalsidase alfa
1005695	A16AB04	Agalsidase beta	Alpha-D- galactoside galactohydrolase
1005695	A16AB04	Agalsidase beta	Alpha-D-galactosidase A
1005695	A16AB04	Agalsidase beta	Alpha-galactosidase A precursor
1005695	A16AB04	Agalsidase beta	Melibiase
1005736	H01CB02	Octreotide	Octreotida [Spanish]
1005736	H01CB02	Octreotide	Octreotidum [Latin]
1005736	H01CB02	Octreotide	Octrotide
1005843	L03AB05	Interferon Alfa-2b, Recombinant	Interferon alfa-2b
1005843	L03AB05	Interferon Alfa-2b, Recombinant	rIFN-alpha-2b
1005843	L03AB10	Interferon Alfa-2b, Recombinant	Interferon alfa-2b
1005843	L03AB10	Interferon Alfa-2b, Recombinant	rIFN-alpha-2b
1005933	H01BB01	Oxytocin	Pitocin
1005933	H01BB01	Oxytocin	Syntocinon
1005933	H01BB02	Oxytocin	Pitocin
1005933	H01BB02	Oxytocin	Syntocinon
1006032	L04AA23	Natalizumab	Anti-alpha4 integrin
1006032	L04AA23	Natalizumab	Anti-VLA4
1006124	J05AX07	Enfuvirtide	Envelope polyprotein GP160 precursor [Contains: Exterior membrane glycoprotein,GP120, Transmembrane 
1006169	J06BB16	Palivizumab	anti-RSV
1006169	J06BB16	Palivizumab	Synagis
1006224	L04AC01	Daclizumab	Anti-IL-2
1006224	L04AC01	Daclizumab	Humanized antiCD25
1006224	L04AC01	Daclizumab	Ig gamma-1 chain C region
1006284	L01XC07	Bevacizumab	antiVEGF
1006284	L01XC07	Bevacizumab	Avastin
1006284	L01XC07	Bevacizumab	R-435
1006341	V09IA06	Arcitumomab	anti-Carcinoembryonic Antigen Monoclonal Antibody Fab' Fragment
1006341	V09IA06	Arcitumomab	IMMU-4
1006367	A11HA02	Pyridoxal Phosphate	Codecarboxylase
1006367	A11HA02	Pyridoxal Phosphate	PLP
1006367	A11HA02	Pyridoxal Phosphate	Pyridoxal 5-phosphate
1006367	A11HA02	Pyridoxal Phosphate	Pyridoxal 5'-phosphate
1006367	A11HA02	Pyridoxal Phosphate	Pyridoxal P
1006367	A11HA02	Pyridoxal Phosphate	Pyridoxal-5P
1006367	A11HA02	Pyridoxal Phosphate	Pyridoxal-P
1006367	A11HA02	Pyridoxal Phosphate	Pyromijin
1006367	A11HA02	Pyridoxal Phosphate	Vitamin B6
1006367	A11HA06	Pyridoxal Phosphate	Codecarboxylase
1006367	A11HA06	Pyridoxal Phosphate	PLP
1006367	A11HA06	Pyridoxal Phosphate	Pyridoxal 5-phosphate
1006367	A11HA06	Pyridoxal Phosphate	Pyridoxal 5'-phosphate
1006367	A11HA06	Pyridoxal Phosphate	Pyridoxal P
1006367	A11HA06	Pyridoxal Phosphate	Pyridoxal-5P
1006367	A11HA06	Pyridoxal Phosphate	Pyridoxal-P
1006367	A11HA06	Pyridoxal Phosphate	Pyromijin
1006367	A11HA06	Pyridoxal Phosphate	Vitamin B6
1006661	B03BB01	Cyanocobalamin	Cyanocob(III)alamin
1006661	B03BB01	Cyanocobalamin	Vitamin B12
1006661	B03BB01	Cyanocobalamin	Vitamin B12 complex
1006661	B03BA01	Cyanocobalamin	Cyanocob(III)alamin
1006661	B03BA01	Cyanocobalamin	Vitamin B12
1006661	B03BA01	Cyanocobalamin	Vitamin B12 complex
1007397	A11HA05	Biotin	(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid
1007397	A11HA05	Biotin	cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid
1007397	A11HA05	Biotin	Coenzyme R
1007397	A11HA05	Biotin	D-Biotin
1007397	A11HA05	Biotin	D(+)-Biotin
1007397	A11HA05	Biotin	Vitamin B7
1007397	A11HA05	Biotin	Vitamin H
1007510	N02BA03	Choline	Bilineurine
1007510	N02BA03	Choline	Choline cation
1007510	N02BA03	Choline	Choline ion
1007510	N02BA03	Choline	Cholinum
1007510	N02BA03	Choline	N-trimethylethanolamine
1007510	N02BA03	Choline	N,N,N-trimethylethanol-ammonium
1007510	N02BA03	Choline	trimethylethanolamine
1007510	N07AX02	Choline	Bilineurine
1007510	N07AX02	Choline	Choline cation
1007510	N07AX02	Choline	Choline ion
1007510	N07AX02	Choline	Cholinum
1007510	N07AX02	Choline	N-trimethylethanolamine
1007510	N07AX02	Choline	N,N,N-trimethylethanol-ammonium
1007510	N07AX02	Choline	trimethylethanolamine
1007510	R03DA02	Choline	Bilineurine
1007510	R03DA02	Choline	Choline cation
1007510	R03DA02	Choline	Choline ion
1007510	R03DA02	Choline	Cholinum
1007510	R03DA02	Choline	N-trimethylethanolamine
1007510	R03DA02	Choline	N,N,N-trimethylethanol-ammonium
1007510	R03DA02	Choline	trimethylethanolamine
1007510	V03AB29	Choline	Bilineurine
1007510	V03AB29	Choline	Choline cation
1007510	V03AB29	Choline	Choline ion
1007510	V03AB29	Choline	Cholinum
1007510	V03AB29	Choline	N-trimethylethanolamine
1007510	V03AB29	Choline	N,N,N-trimethylethanol-ammonium
1007510	V03AB29	Choline	trimethylethanolamine
1007510	S01EB09	Choline	Bilineurine
1007510	S01EB09	Choline	Choline cation
1007510	S01EB09	Choline	Choline ion
1007510	S01EB09	Choline	Cholinum
1007510	S01EB09	Choline	N-trimethylethanolamine
1007510	S01EB09	Choline	N,N,N-trimethylethanol-ammonium
1007510	S01EB09	Choline	trimethylethanolamine
1007662	B05XB03	L-Lysine	(S)-2,6-diaminohexanoic acid
1007662	B05XB03	L-Lysine	(S)-lysine
1007662	B05XB03	L-Lysine	(S)-
1007662	B05XB03	L-Lysine	α
1007662	B05XB03	L-Lysine	,
1007662	B05XB03	L-Lysine	ε
1007662	B05XB03	L-Lysine	-diaminocaproic acid
1007662	B05XB03	L-Lysine	L-lys
1007662	B05XB03	L-Lysine	LYS
1007662	B05XB03	L-Lysine	lysine acid
1007760	B05XB01	L-Arginine	(S)-2-Amino-5-guanidinovaleric acid
1007760	B05XB01	L-Arginine	Arg
1007760	B05XB01	L-Arginine	L-(+)-Arginine
1007760	B05XB01	L-Arginine	L-Arg
1007872	A11GA01	Vitamin C	Ascorbate
1007872	A11GA01	Vitamin C	Ascorbic Acid
1007872	A11GA01	Vitamin C	L-Ascorbate
1007872	A11GA01	Vitamin C	L-Ascorbic Acid
1007872	A11GA01	Vitamin C	L-Lyxoascorbic Acid
1007872	A11GA01	Vitamin C	L-Xyloascorbic Acid
1007872	S01XA15	Vitamin C	Ascorbate
1007872	S01XA15	Vitamin C	Ascorbic Acid
1007872	S01XA15	Vitamin C	L-Ascorbate
1007872	S01XA15	Vitamin C	L-Ascorbic Acid
1007872	S01XA15	Vitamin C	L-Lyxoascorbic Acid
1007872	S01XA15	Vitamin C	L-Xyloascorbic Acid
1007872	G01AD03	Vitamin C	Ascorbate
1007872	G01AD03	Vitamin C	Ascorbic Acid
1007872	G01AD03	Vitamin C	L-Ascorbate
1007872	G01AD03	Vitamin C	L-Ascorbic Acid
1007872	G01AD03	Vitamin C	L-Lyxoascorbic Acid
1007872	G01AD03	Vitamin C	L-Xyloascorbic Acid
1008238	B03AA09	L-Aspartic Acid	(+)-Aspartic acid
1008238	B03AA09	L-Aspartic Acid	(2S)-Aspartic acid
1008238	B03AA09	L-Aspartic Acid	(L)-Aspartic acid
1008238	B03AA09	L-Aspartic Acid	(S)-Aminobutanedioic acid
1008238	B03AA09	L-Aspartic Acid	(S)-Aspartic acid
1008238	B03AA09	L-Aspartic Acid	Acide aspartique [INN-French]
1008238	B03AA09	L-Aspartic Acid	Acido aspartico [INN-Spanish]
1008238	B03AA09	L-Aspartic Acid	Acidum asparticum
1008238	B03AA09	L-Aspartic Acid	Aminosuccinic acid
1008238	B03AA09	L-Aspartic Acid	Asparagic acid
1008238	B03AA09	L-Aspartic Acid	Asparaginic acid
1008238	B03AA09	L-Aspartic Acid	Asparaginsaeure [German]
1008238	B03AA09	L-Aspartic Acid	Aspartate
1008238	B03AA09	L-Aspartic Acid	Aspartic acid
1008238	B03AA09	L-Aspartic Acid	H-Asp-OH
1008238	B03AA09	L-Aspartic Acid	L-(+)-Aspartic acid
1008238	B03AA09	L-Aspartic Acid	L-2-Aminobutanedioic acid
1008238	B03AA09	L-Aspartic Acid	L-Aminosuccinic acid
1008238	B03AA09	L-Aspartic Acid	L-Asparagic acid
1008238	B03AA09	L-Aspartic Acid	L-Asparaginic acid
1008238	B03AA09	L-Aspartic Acid	L-Asparaginsaeure
1008238	B03AA09	L-Aspartic Acid	L-Asparaginsyra
1008238	B03AA09	L-Aspartic Acid	L-Aspartinsaeure
1008381	A05BA06	L-Ornithine	(S)-2,5-Diaminopentanoate
1008381	A05BA06	L-Ornithine	(S)-2,5-Diaminopentanoic acid
1008381	A05BA06	L-Ornithine	(S)-2,5-diaminovaleric acid
1008381	A05BA06	L-Ornithine	(S)-ornithine
1008381	D11AX16	L-Ornithine	(S)-2,5-Diaminopentanoate
1008381	D11AX16	L-Ornithine	(S)-2,5-Diaminopentanoic acid
1008381	D11AX16	L-Ornithine	(S)-2,5-diaminovaleric acid
1008381	D11AX16	L-Ornithine	(S)-ornithine
1008381	P01CX03	L-Ornithine	(S)-2,5-Diaminopentanoate
1008381	P01CX03	L-Ornithine	(S)-2,5-Diaminopentanoic acid
1008381	P01CX03	L-Ornithine	(S)-2,5-diaminovaleric acid
1008381	P01CX03	L-Ornithine	(S)-ornithine
1008471	A16AA03	L-Glutamine	(S)-2,5-diamino-5-oxopentanoic acid
1008471	A16AA03	L-Glutamine	L-(+)-glutamine
1008471	A16AA03	L-Glutamine	L-2-aminoglutaramic acid
1008471	A16AA03	L-Glutamine	L-glutamic acid
1008471	A16AA03	L-Glutamine	γ
1008471	A16AA03	L-Glutamine	-amide
1008930	V03AB26	L-Methionine	(S)-2-amino-4-(methylthio)butanoic acid
1008930	V03AB26	L-Methionine	(S)-2-amino-4-(methylthio)butyric acid
1008930	V03AB26	L-Methionine	(S)-methionine
1008930	V03AB26	L-Methionine	L-(-)-Methionine
1008930	V03AB26	L-Methionine	L-a-Amino-g-methylthiobutyric acid
1008930	V03AB26	L-Methionine	Methionine
1009128	A11CC04	Calcitriol	1,25-(OH)
1009128	A11CC04	Calcitriol	<
1009128	A11CC04	Calcitriol	sub
1009128	A11CC04	Calcitriol	>
1009128	A11CC04	Calcitriol	2
1009128	A11CC04	Calcitriol	<
1009128	A11CC04	Calcitriol	/sub
1009128	A11CC04	Calcitriol	>
1009128	A11CC04	Calcitriol	D3
1009128	A11CC04	Calcitriol	1,25-dihydroxycholecalciferol
1009128	D05AX03	Calcitriol	1,25-(OH)
1009128	D05AX03	Calcitriol	<
1009128	D05AX03	Calcitriol	sub
1009128	D05AX03	Calcitriol	>
1009128	D05AX03	Calcitriol	2
1009128	D05AX03	Calcitriol	<
1009128	D05AX03	Calcitriol	/sub
1009128	D05AX03	Calcitriol	>
1009128	D05AX03	Calcitriol	D3
1009128	D05AX03	Calcitriol	1,25-dihydroxycholecalciferol
1009530	A11HA04	Riboflavin	Lactoflavin
1009530	A11HA04	Riboflavin	Lactoflavine
1009530	A11HA04	Riboflavin	Riboflavina [INN-Spanish]
1009530	A11HA04	Riboflavin	Riboflavine [INN-French]
1009530	A11HA04	Riboflavin	Riboflavinum [INN-Latin]
1009530	A11HA04	Riboflavin	Russupteridine Yellow III
1009530	A11HA04	Riboflavin	Vitamin B2
1009530	A11HA04	Riboflavin	Vitamin Bi
1009530	A11HA04	Riboflavin	Vitamin G
1009665	M01AX05	N-Acetyl-D-glucosamine	2-Acetamido-2-deoxy-D-glucose
1009665	M01AX05	N-Acetyl-D-glucosamine	GlcNAc
1009665	M01AX05	N-Acetyl-D-glucosamine	Glucosamine Complex
1009665	M01AX05	N-Acetyl-D-glucosamine	N-Acetylchitosamine
1009733	A09AB01	L-Glutamic Acid	(2S)-2-Aminopentanedioic acid
1009733	A09AB01	L-Glutamic Acid	(S)-(+)-Glutamic acid
1009733	A09AB01	L-Glutamic Acid	(S)-2-Aminopentanedioic acid
1009733	A09AB01	L-Glutamic Acid	(S)-Glutamic acid
1009733	A09AB01	L-Glutamic Acid	1-Aminopropane-1,3-dicarboxylic acid
1009733	A09AB01	L-Glutamic Acid	2-Aminoglutaric acid
1009733	A09AB01	L-Glutamic Acid	2-Aminopentanedioic acid
1009733	A09AB01	L-Glutamic Acid	a-Aminoglutaric acid
1009733	A09AB01	L-Glutamic Acid	a-Glutamic acid
