ORIGINAL,REPLACEMENT,OCCURRENCE
DEPAKENE,VALPROIC ACID,9885
PHENOBAL,PHENOBARBITAL,267
RIVOTRIL,CLONAZEPAM,6286
TEGRETOL,CARBAMAZEPINE,17906
ALLEGRA,FEXOFENADINE,15572
AXERT,ALMOTRIPTAN,366
CELEBREX,CELECOXIB,51554
GLUCOPHAGE,METFORMIN,25198
LORTAB,LOSARTAN,13245
NASACORT,TRIAMCINOLONE,2265
TOPAMAX                                 /AUS/,TOPIRAMATE,12
ZEBETA,BISOPROLOL,500
ZELNORM,TEGASEROD,6251
ZOFRAN                                  /GFR/,ONDANSETRON,1
CIPRO,CIPROFLOXACIN,7692
CLOZARIL,CLOZAPINE,25537
COGENTIN                                /UNK/,BENZATROPINE,6
SINGULAIR ^DIECKMANN^,MONTELUKAST,115
ATARAX,HYDROXYZINE,8257
NAUZELIN,DOMPERIDONE,1315
PENTAGIN,PENTAZOCINE,123
RINDERON,BETAMETHASONE,911
RITODRINE HCL IN DEXTROSE 5% IN PLASTIC CONTAINER,RITODRINE,2
ADESTAN,HALOTHANE,5
ADONA,PHENOBARBITAL,976
ASVERIN,GENTIAN VIOLET,856
FUNGIZONE,AMPHOTERICIN B,1559
GASTER,FAMOTIDINE,3671
LAMISIL,TERBINAFINE,5043
NIFLAN,NIFEDIPINE,143
NOSLAN,DIAZEPAM,4
RINDERON-VG,BETAMETHASONE,317
STROCAIN,EFAVIRENZ,121
LOPINAVIR/RITONAVIR,LOPINAVIR,633
VENLAFAXINE HCL,VENLAFAXINE,6453
BACTRIM,SULFAMETHOXAZOLE,14569
BISOPROLOL FUMARATE,BISOPROLOL,13663
CORTICOSTEROIDS,CORTICOTROPIN,7898
CYMEVAN,VALGANCICLOVIR,183
LEVOTHYROXINE SODIUM,LEVOTHYROXINE,52076
PROSTAGLANDIN E2,DINOPROSTONE,14
IMPORTAL,PIROXICAM,136
NORVASK,AMLODIPINE,201
TREMARIT,METIXENE,14
HIDROCODONE,HYDROCODONE,2
ROSIGLITAZONE MALEATE,ROSIGLITAZONE,2981
TRILEPTAL,OXCARBAZEPINE,9422
ARTANE,TRIHEXYPHENIDYL,1391
CABASER,CABERGOLINE,438
PARLODEL,BROMOCRIPTINE,1056
SYMMETREL,AMANTADINE,1287
CARBENIN,CARBENICILLIN,483
FLUDARABINE PHOSPHATE,FLUDARABINE,6086
MELFARAN,MELPHALAN,2
NEUTROGIN,TRIMETREXATE,1009
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,1877
BENSYLPENICILLIN,PENICILLIN G,19
TERNELIN,TIZANIDINE,356
ASPARA K,L-ASPARTIC ACID,460
PONTAL,MEFENAMIC ACID,161
TAKEPRON,LANSOPRAZOLE,4958
LASIX                                   /SCH/,FUROSEMIDE,10
ALESION,CROMOGLICIC ACID,689
SIGMART,HYDROCORTISONE,2201
ALFAROL,ALLOPURINOL,2506
CATLEP,INDOMETHACIN,136
FERROMIA,AMINOSALICYLIC ACID,1337
KOLANTYL,DICYCLOMINE,158
TYLENOL                                 /USA/,ACETAMINOPHEN,15
CYTOTEC,MISOPROSTOL,2117
HALCION,TRIAZOLAM,3807
LESCOL,FLUVASTATIN,2729
GASTER D                                /KOR/,FAMOTIDINE,3
ISCOTIN,ISONIAZID,1358
SOSEGON,PENTAZOCINE,116
CO-DAFALGAN,ACETAMINOPHEN,44
MACROGOL,POLIDOCANOL,749
ZOLPIDEM TARTRATE,ZOLPIDEM,8668
HALDOL,HALOPERIDOL,9711
EZETROL,EZETIMIBE,1046
LEPONEX,CLOZAPINE,2773
LESCOL FORTE,FLUVASTATIN,2
LIPANTIL,FENOFIBRATE,70
NEXIUM,ESOMEPRAZOLE,88845
PASPERTIN,METOCLOPRAMIDE,430
CARDENSIEL,NICARDIPINE,1327
COVERSYL,PERINDOPRIL,2331
EFFEXOR,VENLAFAXINE,24956
IMOVANE,ZOPICLONE,3791
LASILIX,FUROSEMIDE,2170
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE,916
PROCATEROL HYDROCHLORIDE,PROCATEROL,16
SINGULAIR,MONTELUKAST,34282
ZETIA,EZETIMIBE,21297
FLOMAX,TAMSULOSIN,16835
PROSCAR,FINASTERIDE,4683
BECLOMETHASONE DIPROPIONATE,BECLOMETASONE DIPROPIONATE,2811
BETAMETHASONE AND DEXCHLORPHENIRAMINE MALEATE,BETAMETHASONE,4
ATIVAN,LORAZEPAM,23893
CAMPTOSAR,IRINOTECAN,2929
INSULIN,INSULIN ASPART,29217
MARINOL,DRONABINOL,1405
RADIATION,FLUOCINOLONE ACETONIDE,1466
DONEPEZIL HCL,DONEPEZIL,1960
FESO4,FESOTERODINE,119
GEMFIBRAZOL,GEMFIBROZIL,2
VIT E,VITAMIN E,445
ATENOLOL TABS 50 MG,ATENOLOL,1
PLAVIX,CLOPIDOGREL,60331
VASOTEC,ENALAPRIL,5281
ACTOS,PIOGLITAZONE,23836
AVANDAMET,ROSIGLITAZONE,9538
CLIMARA,ESTRADIOL,3151
GLUCOTROL,GLIPIZIDE,5648
LOZOL,INDAPAMIDE,565
SOMA,CARISOPRODOL,6741
PAXIL,PAROXETINE,46174
PAXIL CR,PAROXETINE,6697
LEVAQUIN,LEVOFLOXACIN,26097
LEXAPRO,ESCITALOPRAM,34187
ZOLOFT,SERTRALINE,46526
PROPECIA,FINASTERIDE,2416
SEPTOCAINE,EPINEPHRINE,272
PIOGLITAZONE HCL,PIOGLITAZONE,1250
TERAZOSIN HCL,TERAZOSIN,3926
FERROUS SULFATE TAB,IRON,12813
GATIFLOXACIN 400 MG,GATIFLOXACIN,2
PHENOBARBITAL TAB,PHENOBARBITAL,4658
CARBATROL,CARBAMAZEPINE,910
NORTRIPTYLINE HCL,NORTRIPTYLINE,3823
PREMARIN,CONJUGATED ESTROGENS,53137
PREVACID,LANSOPRAZOLE,27509
REQUIP,ROPINIROLE,9833
TENOFOVIR 300 MG GILEAD,TENOFOVIR,1
TRICOR,FENOFIBRATE,12749
VIRAMUNE,NEVIRAPINE,4299
TAMIFLU,OSELTAMIVIR,9602
HUMALOG,INSULIN LISPRO,23254
LANTUS INSULIN,INSULIN GLARGINE,6
SUDAFED S.A.,PSEUDOEPHEDRINE,174
INVANZ,ERTAPENEM,1428
PLAQUENIL,HYDROXYCHLOROQUINE,11560
OXYCONTIN,OXYCODONE,33725
DAPTOMYCIN 500 MG CUBIST,DAPTOMYCIN,5
HYTRIN,TERAZOSIN,2591
MULTI-VITAMIN,ISOSORBIDE MONONITRATE,24940
PROTONIX,PANTOPRAZOLE,30387
SUPRAX,CEFIXIME,121
VICODIN,VITAMIN C,24792
ADVAIR DISKUS 250/50,FLUTICASONE PROPIONATE,749
ALTACE,RAMIPRIL,14481
ASAPIRIN,ACETYLSALICYLIC ACID,3
LEVOXYL,LEVOTHYROXINE,13040
PRAVACHOL,PRAVASTATIN,9426
AGGRENOX,DIPYRIDAMOLE,3940
ALPHAGAN,BRIMONIDINE,1929
LOTEMEX,IBUPROFEN,1
PREMPOR,CONJUGATED ESTROGENS,1
TOPROL-XL,METOPROLOL,34685
TRUSOPT,DORZOLAMIDE,1069
NEFAZODONE HCL,NEFAZODONE,372
RISPERDONE,RISPERIDONE,237
TIZANIDINE HCL,TIZANIDINE,2982
VIT C,VITAMIN E,809
METOPROLOL TARTRATE,METOPROLOL,29998
PLETAL,CILOSTAZOL,3950
KINERET,ANAKINRA,1453
NAPROXEN SODIUM,NAPROXEN,2743
PSEUDOEPHEDRINE HCL,PSEUDOEPHEDRINE,999
TRIAMTERENE AND HYDROCHLOROTHIAZIDE,TRIAMTERENE,3575
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE,7382
SERTRALINE HCL,SERTRALINE,4169
BISMUTH,BISMUTH SUBSALICYLATE,39
DE-NOL,HYDROCHLOROTHIAZIDE,4
TAXOL,PACLITAXEL,12597
ZYVOX,LINEZOLID,5775
ALBUTEROL,SALBUTAMOL,41403
ALDACTONE,SPIRONOLACTONE,16084
ARESTAL,GUAIFENESIN,87
BEDELIX,DIPHENHYDRAMINE,23
DAONIL,GLYBURIDE,827
NOROXIN,NORFLOXACIN,954
RENITEC,GLYBURIDE,449
NEUPOGEN,FILGRASTIM,10623
PEGINTERFERON ALPHA 2A 180 MICROGRAMS,PEGINTERFERON ALFA-2A,1
PEMETREXED DISODIUM,PEMETREXED,773
ABILIFY,ARIPIPRAZOLE,27828
DILAUDID,HYDROMORPHONE,8459
DILTIAZEM CD,DILTIAZEM,301
PROCRIT,EPOETIN ALFA,9918
QUININE SULFATE,QUININE,3005
AMAREL,GLIMEPIRIDE,423
ELISOR,PRAVASTATIN,797
LYSANXIA,PRAZEPAM,494
NORSET,MIRTAZAPINE,403
SEROPRAM,CITALOPRAM,696
STILNOX,ZOLPIDEM,2193
TERCIAN,EVEROLIMUS,1697
GEODON,ZIPRASIDONE,14039
TOPIRMATE,TOPIRAMATE,150
DOXYCHEL,DOXYCYCLINE,1
RABEPRAZOLE SODIUM,RABEPRAZOLE,8514
APAP TAB,ACETAMINOPHEN,829
SIMVASTATIN/NIACIN,SIMVASTATIN,24
IRINOTECAN -COG#9761,IRINOTECAN,1
IMIPENEM,THALIDOMIDE,937
SEPTRA,TRIMETHOPRIM,2065
ONTAK,DENILEUKIN DIFTITOX,258
GLYNASE,GLYBURIDE,355
DECADRON,DEXAMETHASONE,20396
GALANTAMINE 4MG,GALANTAMINE,1
LOSARTAN 50 MG MSD,LOSARTAN,1
NIMBEX,CISATRACURIUM BESYLATE,666
KEFLEX,CEPHALEXIN,3913
COTRIM,TRIMETHOPRIM,4628
FURSEMIDE,FUROSEMIDE,54
GLUCAZIDE,CHLORPROPAMIDE,12
DICHLOTRIDE,HYDROCHLOROTHIAZIDE,59
EXCELASE,ZONISAMIDE,185
LANIRAPID,ISONIAZID,814
LOCHOL,CHOLESTYRAMINE,763
ADALAT,NIFEDIPINE,6760
BENET,RISEDRONATE,659
AMIODARONE HCL,AMIODARONE,11371
LOVENOX,ENOXAPARIN,15447
OMNISCAN,GADODIAMIDE,6536
AMPHO-MORONAL,AMPHOTERICIN B,99
ENTEROBENE,ACETYLSALICYLIC ACID,12
OPTINEM,AZATADINE,9
PROZAC,FLUOXETINE,23867
LIPIODOL,FENOFIBRATE,117
RITALIN,METHYLPHENIDATE,6494
DOXORUBICIN HCL,DOXORUBICIN,21376
DIGOSIN,DIGOXIN,475
RESTAMIN,DIPHENHYDRAMINE,624
ADRIAMYCIN PFS,DOXORUBICIN,4975
EXSAL,SELENIUM SULFIDE,5
KYTRIL,GRANISETRON,5922
EDRONAX,REBOXETINE,161
BLEOMYCIN SULFATE,BLEOMYCIN,2064
EUTIROX,LEVOTHYROXINE,744
CLOPIDOGREL BISULFATE,CLOPIDOGREL,5639
PRINIVIL,LISINOPRIL,5258
PERMAX,PERGOLIDE,578
KETOROLAC TROMETHAMINE,KETOROLAC,1405
INDOMETHACIN 25MG CAP,INDOMETHACIN,35
BUPROPION HCL,BUPROPION,6529
SEROQUEL,QUETIAPINE,108191
DEXAMETH,DEXAMETHASONE,9
WELLBUTRIN SR,BUPROPION,4668
BUPROPRION HCL,BUPROPION,56
BUSPAR,BUSPIRONE,5370
DEPAKOTE,VALPROIC ACID,18631
RISPERDAL,RISPERIDONE,34948
ACIPHEX,RABEPRAZOLE,8970
ELAVIL,AMITRIPTYLINE,6862
THEO-DUR,THEOPHYLLINE,1912
ASPIRIN DIALUMINATE,ACETYLSALICYLIC ACID,55
CALCIUM L-ASPARTATE,CALCIUM ACETATE,24
INSULIN PENMIX 30 PENFILL,INSULIN ASPART,1
MEDIGOXIN,METHYLPREDNISOLONE,7
PL,PYRIDOXAL,666
PRAVASTATIN SODIUM,PRAVASTATIN,4773
ZYLORIC,ALLOPURINOL,2996
NIASPAN,NIACIN,42792
FERROUS CITRATE,IRON,1277
URSODESOXYCHOLIC ACID,URSODEOXYCHOLIC ACID,133
ZEFIX,LAMIVUDINE,650
TICLOPIDINE HCL,TICLOPIDINE,1806
LAKTULOS,LACTULOSE,65
ORUDIS RETARD,KETOPROFEN,44
SERETIDE,OXAZEPAM,6527
STESOLID,DIAZEPAM,138
ZINACEF,CEFUROXIME,798
CEFAZOLIN SODIUM,CEFAZOLIN,1236
PERITONEAL DIALYSIS,CYPROHEPTADINE,12
QUINAPRIL HYDROCHLORIDE,QUINAPRIL,328
TOCOPHEROL CONCENTRATE CAP,VITAMIN E,1078
ANEMET,DOLASETRON,22
ATACAND,CANDESARTAN,10253
FORTECORTIN,DEXAMETHASONE,926
PANTOZOL,PANTOPRAZOLE,3440
SORTIS,ATORVASTATIN,1008
DILANTIN,PHENYTOIN,11836
SULPHASALAZINE,SULFASALAZINE,216
PLAN B,LEVONORGESTREL,375
RITUXAN,RITUXIMAB,8976
SIMVOSTATIN,SIMVASTATIN,2
ZANTAC,RANITIDINE,18564
PEPCID AC,FAMOTIDINE,931
PHENERGAN TABLETS/SUPPOSITORIES,PROMETHAZINE,62
FOSAMAX,ALENDRONATE,78367
TIMOPTIC,TIMOLOL,1191
BUDESONIDE AND FORMOTEROL FUMARATE,BUDESONIDE,272
GOSERELIN ACETATE,GOSERELIN,158
ELSPAR,ASPARAGINASE,1331
DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE,274
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,ACETAMINOPHEN,6290
VIAGRA,SILDENAFIL,17891
AFRIN,OXYMETAZOLINE,461
TAVIST D,CLEMASTINE,25
LITHIUM CARBONATE,LITHIUM,11014
COREG,CARVEDILOL,19275
VITAMINS (UNSPECIFIED),VITAMIN E,3906
CANDESARTAN CILEXETIL,CANDESARTAN,6010
ASCORBIC ACID,VITAMIN C,15839
ESTROGENS (UNSPECIFIED),CONJUGATED ESTROGENS,571
MONOPRIL,FOSINOPRIL,2512
VITAMIN B COMPLEX,CYANOCOBALAMIN,322
ANTIMICROBIAL (UNSPECIFIED),ISONIAZID,288
HYZAAR,LOSARTAN,7994
LOPRESSOR,METOPROLOL,12336
CITALOPRAM 40 MG FOREST,CITALOPRAM,2
LANTUS,INSULIN GLARGINE,48034
TESTOSTERONE CYPIONATE,TESTOSTERONE,153
ULTRAM,TRAMADOL,8515
CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE,2242
MINOMYCIN,MINOCYCLINE,284
PENTCILLIN,PENICILLIN G,492
ROCEPHIN,CEFTRIAXONE,7503
CELEXA,CITALOPRAM,17482
HIRUDIN,LEPIRUDIN,6
COPEGUS,RIBAVIRIN,8435
PEGASYS,PEGINTERFERON ALFA-2A,19544
ALLOPURINOL TAB,ALLOPURINOL,289
FUZEON,ENFUVIRTIDE,2172
LARIAM,MEFLOQUINE,1006
DARVOCET,ACETAMINOPHEN,6511
BURINEX,BUMETANIDE,374
CIFLOX,CIPROFLOXACIN,1024
DOPAMINE HCL,DOPAMINE,2724
HYPNOVEL,PHENOBARBITAL,378
PERFALGAN,ENOXIMONE,1238
SUFENTANIL CITRATE,SUFENTANIL,936
EVISTA,RALOXIFENE,10483
EPIPEN,EPINEPHRINE,1816
FLOVENT,FLUTICASONE PROPIONATE,9333
LOPID,GEMFIBROZIL,3045
REYATAZ,ATAZANAVIR,6096
ZERIT,STAVUDINE,2215
DARVOCET-N 100,ACETAMINOPHEN,4257
FOLATE SODIUM,FOLIC ACID,386
PHENERGAN,PROMETHAZINE,5410
ACETAMINOPHEN W/ CODEINE,ACETAMINOPHEN,3741
ALBUTEROL/IPRATROPIUM,SALBUTAMOL,28
CETIRIZINE HCL,CETIRIZINE,3569
FEXOFENADINE HCL,FEXOFENADINE,1242
FLUNIOSOLIDE,FLUNISOLIDE,1
FOSINOPRIL NA,FOSINOPRIL,90
GENTAMICIN SULFATE,GENTAMICIN,832
ASPIRIN/DIPYRIDAMOLE,ACETYLSALICYLIC ACID,5
CLONIDINE HCL,CLONIDINE,1758
FOSINOPRIL SODIUM,FOSINOPRIL,2319
HYDRALAZINE HCL,HYDRALAZINE,3883
RITONAVIR 100 MG,RITONAVIR,1
TRAZODONE HCL,TRAZODONE,18989
DIABETIC MEDS,GUAIFENESIN,9
FORADIL,FORMOTEROL,3146
TOPAMAX,TOPIRAMATE,20402
EFFEXOR XR,VENLAFAXINE,17544
CLOMID,CLOMIFENE,417
CISPLATYL,CISPLATIN,45
HOLOXAN,IFOSFAMIDE,303
VEPESIDE-SANDOZ,ETOPOSIDE,20
ENDOXAN,CYCLOPHOSPHAMIDE,3108
TEQUIN,GATIFLOXACIN,2164
PARAPLATIN,CARBOPLATIN,2251
KENALOG-40,TRIAMCINOLONE,830
ETOPOPHOS,ETOPOSIDE,43
NITOROL,NICOTINE,313
LEUCOVORIN CALCIUM INJECTION (LEUCOVORIN) (LEUCOVORIN),LEUCOVORIN,2
LEUCOVORIN CALCIUM,LEUCOVORIN,11826
LEUCOVORIN CALCIUM INJECTION(LEUCOVORIN)(LEUCOVORIN)(LEUCOVORIN),LEUCOVORIN,1
LIDOCAINE HYDROCHLORIDE INJECTION(LIDOCAINE HYDROCHLORIDE)(LIDOCAINE H,LIDOCAINE,4
THIOPENTAL SODIUM,THIOPENTAL,849
FAMVIR,FAMCICLOVIR,1171
CLOPIXOL,ZUCLOPENTHIXOL,333
LIDOCAINE HYDROCHLORIDE INJ,LIDOCAINE,8
METHERGINE,METHYLERGONOVINE,664
ESTRACOMB TTS,ESTRADIOL,3
MIACALCIN,SALMON CALCITONIN,2997
VITAMIN B-12,CYANOCOBALAMIN,17405
ANTITUSSIVES,GUAIFENESIN,15
LENDORMIN,LINDANE,3944
SOLON,PREDNISOLONE,210
LEUCOVORIN CALCIUN INJECTION (LEUCOVORIN) (LEUCOVORIN),LEUCOVORIN,1
COTAREG,CARVEDILOL,615
TAVOR,LORAZEPAM,1274
TEGRETOL-XR,CARBAMAZEPINE,996
IRESSA,GEFITINIB,7234
NAIXAN,NAPROXEN,336
ZYRTEC,CETIRIZINE,18793
GLURENORM ^BOEHRINGER^,GLIQUIDONE,8
ACETYL-CARNATINE,ACETYLCYSTEINE,1
ALPHA-LYPOIC,VITAMIN A,1
GINKGO(GINKGO BILOBA),GINKGO BILOBA,1
MEMANTINE HCL,MEMANTINE,2900
ROCURONIUM BROMIDE,ROCURONIUM,1828
APLACE,LORAZEPAM,210
CEREKINON,VITAMIN C,256
INDERAL,PROPRANOLOL,4631
PROSTAL,DINOPROST TROMETHAMINE,128
ALDOMET,METHYLDOPA,1077
LEVOTHROID(LEVOTHYROXINE SODIUM0,LEVOTHYROXINE,1
METOCLOPRAMIDE HCL,METOCLOPRAMIDE,731
SODIUM CHLORIDE,HYALURONAN,6216
TOPOTECAN HCL,TOPOTECAN,56
MEGACE(MEGRESTOL ACETATE),MEGESTROL,1
AMITRIPTYLINE HCL,AMITRIPTYLINE,16414
IMITREX,SUMATRIPTAN,10284
ZOMIG,ZOLMITRIPTAN,2445
ZONEGRAN,ZONISAMIDE,2057
ZAROXOLYN,METOLAZONE,1961
ADVIL,IBUPROFEN,7529
CIPRALEX (ESCITALOPRAM),ESCITALOPRAM,672
"MYCOPHENOLATE MOFETIL (MYCOPHENOLATE MOFETIL, )",MYCOPHENOLATE MOFETIL,41
RAPAMUNE,SIROLIMUS,5466
UROSIN (ALLOPURINOL),ALLOPURINOL,2
CLINDAMYCIN (CLINDAMYCIN),CLINDAMYCIN,117
NITROUS OXIDE,ISOSORBIDE DINITRATE,718
SEVOFLURANE LIQUID FOR INHALATION (SEVOFLURANE) (SEVORFLURANE),SEVOFLURANE,1
THIAMYLAL,METHIMAZOLE,32
LUSTRAL (SERTRALINE),SERTRALINE,30
DOXAZOSIN MESILATE 9DOXAZOSIN MESILATE),DOXAZOSIN,1
SORTIS (ATORVASTATIN),ATORVASTATIN,223
ATORVASTATIN (ATORVASTATIN),ATORVASTATIN,829
ALIMEMAZINE TARTRATE,TRIMEPRAZINE,66
ALIMEMAZINE TARTRATE (ALIMEMAZINE TARTRATE),TRIMEPRAZINE,17
